source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0019722,calcium-mediated signaling,0.0009156516861296894,True,"""Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions."" [GOC:signaling]",175,29,6,16180,0.20689655172413793,0.03428571428571429,query_1,['GO:0141124']
GO:BP,GO:0071674,mononuclear cell migration,0.0009788289509153692,True,"""The movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]",177,29,6,16180,0.20689655172413793,0.03389830508474576,query_1,['GO:0050900']
REAC,REAC:R-HSA-6783783,Interleukin-10 signaling,0.0011329035648099974,True,Interleukin-10 signaling,45,26,4,11056,0.15384615384615385,0.08888888888888889,query_1,['REAC:R-HSA-449147']
GO:BP,GO:0071675,regulation of mononuclear cell migration,0.002546772246738512,True,"""Any process that modulates the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]",113,29,5,16180,0.1724137931034483,0.04424778761061947,query_1,"['GO:0002685', 'GO:0071674']"
KEGG,KEGG:05417,Lipid and atherosclerosis,0.002757084641777054,True,Lipid and atherosclerosis,215,17,5,8716,0.29411764705882354,0.023255813953488372,query_1,['KEGG:00000']
GO:CC,GO:0035579,specific granule membrane,0.003068630668706868,True,"""The lipid bilayer surrounding a specific granule, a granule with a membranous, tubular internal structure, found primarily in mature neutrophil cells. Most are released into the extracellular fluid. Specific granules contain lactoferrin, lysozyme, vitamin B12 binding protein and elastase."" [GOC:bf, PMID:7334549]",90,29,4,17154,0.13793103448275862,0.044444444444444446,query_1,"['GO:0030667', 'GO:0042581']"
GO:MF,GO:0031730,CCR5 chemokine receptor binding,0.008070836226147082,True,"""Binding to a CCR5 chemokine receptor."" [GOC:mah, GOC:nln]",5,27,2,17354,0.07407407407407407,0.4,query_1,['GO:0048020']
GO:BP,GO:1905523,positive regulation of macrophage migration,0.010866719294328909,True,"""Any process that activates or increases the frequency, rate or extent of macrophage migration."" [GO_REF:0000058, GOC:TermGenie, PMID:25749876]",21,29,3,16180,0.10344827586206896,0.14285714285714285,query_1,"['GO:0071677', 'GO:1905517', 'GO:1905521']"
GO:MF,GO:0031726,CCR1 chemokine receptor binding,0.012094628919348272,True,"""Binding to a CCR1 chemokine receptor."" [GOC:mah, GOC:nln]",6,27,2,17354,0.07407407407407407,0.3333333333333333,query_1,['GO:0048020']
KEGG,KEGG:04148,Efferocytosis,0.013075333274904757,True,Efferocytosis,157,17,4,8716,0.23529411764705882,0.025477707006369428,query_1,['KEGG:00000']
GO:CC,GO:0140143,collagenous component of basement membrane,0.01548073078209882,True,"""Collagenous component of basement membrane ECMs, including collagen IV and other types of collagen specifically expressed in basement membrane."" [PMID:21123617, PMID:21421915, PMID:28040522, PMID:28324731, PMID:31387942, PMID:39223427]",8,29,2,17154,0.06896551724137931,0.25,query_1,"['GO:0030312', 'GO:0140139']"
GO:CC,GO:0098642,network-forming collagen trimer,0.01548073078209882,True,"""A collagen trimer that forms networks."" [PMID:21421911]",8,29,2,17154,0.06896551724137931,0.25,query_1,"['GO:0005581', 'GO:0098645']"
GO:CC,GO:0098645,complex of network-forming collagens,0.01548073078209882,True,"""A supramolecular complex that consists of collagen triple helices associated to form a network."" [GOC:dos, PMID:21421911]",8,29,2,17154,0.06896551724137931,0.25,query_1,['GO:0098644']
